,direct_reply,year,month_sin,month_cos,time_since_posted,is_quote,hashtags,user_mentions,medias,urls,english,favourites,happy_words,sad_words,retweets
8269,0,2018,1,6.12323399573677E-17,2073941.257295,1,0,1,0,0,1,0,1,0,7241
7097,0,2018,0.8660254038,-0.5,231914.166174,0,1,1,0,0,1,0,0,2,7225
4774,0,2017,-2.44929359829471E-16,1,10636352.816277,0,3,1,0,0,1,0,2,0,7224
2193,0,2017,0.8660254038,0.5,35758755.365858,0,1,1,0,0,1,0,0,0,7153
8095,0,2018,1,6.12323399573677E-17,949128.029498,0,0,0,0,1,1,35769,1,1,7128
7106,0,2018,0.8660254038,-0.5,333539.185483,1,0,1,0,1,1,0,1,0,7034
25,0,2018,0.8660254038,-0.5,174370.290939,0,0,2,0,0,1,0,1,0,6754
4755,0,2018,1,6.12323399573677E-17,1036863.457937,0,0,2,1,0,1,0,1,0,6599
8151,0,2018,1,6.12323399573677E-17,1031009.039039,0,0,2,1,0,1,0,1,0,6599
10327,0,2018,1,6.12323399573677E-17,2174394.892924,0,0,1,0,0,1,0,1,0,6466
2248,0,2018,0.8660254038,-0.5,313365.615849,0,0,1,0,0,1,0,2,0,6428
2394,0,2018,1,6.12323399573677E-17,2847797.437019,1,0,1,0,0,1,0,0,1,6293
1327,0,2018,0.8660254038,-0.5,264643.297125,0,0,1,0,0,1,0,0,2,6275
6409,0,2018,0.5,0.8660254038,5854779.027843,0,0,1,0,0,1,0,1,2,6262
10096,0,2018,0.8660254038,-0.5,252390.087979,0,0,1,0,0,1,0,1,0,6202
7103,0,2018,0.8660254038,-0.5,312845.178862,0,0,1,0,0,1,0,0,0,6195
9819,0,2018,0.8660254038,-0.5,346258.828952,0,0,1,0,0,1,0,0,0,6195
5281,0,2018,1,6.12323399573677E-17,2401436.083283,0,1,1,1,0,1,0,0,1,6181
7423,0,2018,1,6.12323399573677E-17,1252772.441772,1,0,1,0,0,1,0,0,1,6124
2568,0,2018,0.8660254038,-0.5,265126.520973,1,0,1,0,1,1,0,0,1,6031
7395,0,2018,0.8660254038,-0.5,230616.950466,0,0,2,0,1,1,0,0,0,6013
6503,0,2018,0.8660254038,-0.5,88590.22945,0,0,1,0,0,1,0,0,1,5962
